timestamp,case,key,np,chunk,start,end,elapsed_s,keys_attempted_est,throughput_keys_per_s,cipher,found_key,simulated,log
2025-10-31 19:54:30,easy,36028797018963969,4,262144,36028797008963969,36028797028963968,2,20000000,10000000.00,files/cipher_easy.bin,36028797019029504,false,logs/run_easy_20251031-195428.log
2025-10-31 19:54:32,medium,45035996273704960,4,262144,45035996263704960,45035996283704959,2,20000000,10000000.00,files/cipher_medium.bin,45035996273704960,false,logs/run_medium_20251031-195430.log
2025-10-31 19:54:35,hard,15836833854489657,4,262144,15836833844489657,15836833864489656,3,20000000,6666666.67,files/cipher_hard.bin,15836833854424377,false,logs/run_hard_20251031-195432.log
